id,association_id,artist_id
167,6,163
168,6,164
169,6,165
170,6,22
171,6,89
172,6,166
173,6,167
174,6,168
175,6,169
176,6,52
177,6,94
178,6,170
179,6,171
180,6,24
181,6,172
182,6,173
183,6,174
184,6,175
185,6,176
186,6,53
187,6,177
188,6,178
189,6,179
190,6,180
191,6,181
192,6,182
193,6,183
194,6,184
195,6,185
196,6,28
197,6,186
198,6,111
199,6,187
200,6,113
201,6,116
202,6,188
203,6,189
204,6,190
205,6,191
206,6,192
207,6,193
208,6,194
209,6,195
210,6,196
211,6,197
212,6,198
213,6,199
214,6,200
215,6,201
216,6,202
217,6,203
218,6,126
219,6,127
220,6,204
221,6,205
222,6,129
223,6,130
224,6,206
225,6,207
226,6,208
227,6,209
228,6,210
229,6,211
230,6,212
231,7,213
232,7,214
233,7,215
234,7,216
235,7,217
236,7,218
237,7,219
238,7,220
239,7,221
240,7,222
241,7,82
242,7,223
243,7,224
244,7,225
245,7,226
246,7,227
247,7,228
248,7,229
249,7,230
250,7,231
251,7,232
252,7,233
253,7,110
254,7,234
255,7,235
256,7,236
257,7,237
258,7,238
259,7,239
260,7,240
261,7,241
262,7,133
263,7,242
264,8,243
265,8,244
266,8,245
267,8,246
268,8,247
269,9,248
270,9,19
271,9,249
272,9,250
273,9,244
274,9,22
275,9,24
276,9,26
277,9,27
278,9,251
279,9,28
280,9,29
281,9,252
282,9,30
283,10,253
284,10,254
285,10,255
286,10,171
287,10,256
288,10,257
289,10,258
290,10,259
291,11,260
292,11,261
293,11,262
294,11,263
295,11,264
296,11,265
297,11,266
298,11,267
299,11,268
300,11,269
301,11,270
302,11,271
303,12,62
304,12,214
305,12,272
306,12,273
307,12,64
308,12,274
309,12,275
310,12,65
311,12,276
312,12,277
313,12,278
314,12,68
315,12,279
316,12,280
317,12,77
318,12,82
319,12,83
320,12,281
321,12,282
322,12,283
323,12,87
324,12,284
325,12,91
326,12,285
327,12,92
328,12,93
329,12,286
330,12,287
331,12,288
332,12,101
333,12,102
334,12,289
335,12,290
336,12,103
337,12,291
338,12,104
339,12,292
340,12,293
341,12,294
342,12,295
343,12,296
344,12,297
345,12,114
346,12,298
347,12,234
348,12,299
349,12,300
350,12,301
351,12,302
352,12,303
353,12,304
354,12,305
355,12,306
356,12,307
357,12,308
358,12,121
359,12,124
360,12,309
361,12,131
362,12,132
363,12,310
364,12,136
365,12,141
366,12,312
367,13,313
368,13,314
369,13,315
370,13,316
371,13,317
372,13,318
373,13,319
374,13,320
375,13,321
376,14,322
377,14,278
378,14,323
379,14,292
380,14,295
381,14,234
382,15,324
383,15,325
384,15,326
385,15,327
386,15,328
387,15,329
388,15,330
389,16,313
390,16,331
391,16,332
392,16,333
393,16,334
394,17,335
395,17,336
396,17,337
397,17,338
